#NUMBER;RN;SN;VN;NAME;LOCATION;STATUS;LATX;NS;VF;LONGX;EW;ELEV;TYPE;TIMEFRAME
0100-01-;01;00;-01-;West Eifel Volc Field;Germany;Radiocarbon;50,16666667;N;*;6,85;E;600;Maars;D7
0100-02-;01;00;-02-;Chaîne des Puys;France;Radiocarbon;45,775;N;*;2,966666667;E;1464;Lava domes;D7
0100-03-;01;00;-03-;Olot Volc Field;Spain;Holocene;42,16666667;N;*;2,533333333;E;893;Pyroclastic cones;U
0100-04-;01;00;-04-;Calatrava Volc Field;Spain;Radiocarbon;38,86666667;N;*;-4,016666667;W;1117;Pyroclastic cones;D7
0101-001;01;01;-001;Larderello;Italy;Historical;43,25;N;;10,86666667;E;500;Explosion craters;D6
0101-003;01;01;-003;Vulsini;Italy;Historical;42,6;N;;11,93333333;E;800;Caldera;D7
0101-004;01;01;-004;Alban Hills;Italy;Holocene?;41,73333333;N;;12,7;E;949;Caldera;?
0101-01=;01;01;-01-;Campi Flegrei;Italy;Historical;40,82722222;N;;14,13888889;E;458;Caldera;D5
0101-02=;01;01;-02-;Vesuvius;Italy;Historical;40,82138889;N;;14,42611111;E;1281;Somma volcano;D2
0101-031;01;01;-031;Palinuro;Italy;Radiocarbon;39,48333333;N;;14,83333333;E;-70;Submarine volcano;D7
0101-03=;01;01;-03-;Ischia;Italy;Historical;40,73333333;N;;13,8975;E;789;Complex volcano;D6
0101-041;01;01;-041;Panarea;Italy;Holocene?;38,63333333;N;;15,06666667;E;421;Stratovolcano;?
0101-042;01;01;-042;Lipari;Italy;Radiocarbon;38,48333333;N;;14,95;E;602;Stratovolcanoes;D6
0101-04=;01;01;-04-;Stromboli;Italy;Historical;38,78944444;N;;15,21305556;E;924;Stratovolcano;D1
0101-05=;01;01;-05-;Vulcano;Italy;Historical;38,40361111;N;;14,96166667;E;500;Stratovolcanoes;D3
0101-06=;01;01;-06-;Etna;Italy;Historical;37,73416667;N;;15,00444444;E;3330;Stratovolcanoes;D1
0101-071;01;01;-071;Pantelleria;Italy;Historical;36,76666667;N;;12,01666667;E;836;Shield volcano;D3
0101-07=;01;01;-07-;Campi Flegrei Mar Sicilia;Italy;Historical;37,1;N;*;12,7;E;-8;Submarine volcanoes;D3
0102-02=;01;02;-02-;Methana;Greece;Historical;37,61527778;N;;23,33555556;E;760;Lava domes;D7
0102-03=;01;02;-03-;Mílos;Greece;Radiocarbon;36,69861111;N;*;24,43888889;E;751;Stratovolcanoes;D6
0102-04=;01;02;-04-;Santorini;Greece;Historical;36,40361111;N;;25,39638889;E;367;Shield volcanoes;D2
0102-051;01;02;-051;Yali;Greece;Holocene;36,67055556;N;;27,13972222;E;180;Lava domes;U
0102-05=;01;02;-05-;Nisyros;Greece;Historical;36,58555556;N;;27,15972222;E;698;Stratovolcano;D3
0103-00-;01;03;-00-;Kula;Turkey;Holocene;38,58333333;N;*;28,51666667;E;750;Cinder cones;U
0103-001;01;03;-001;Karapinar Field;Turkey;Holocene;37,66666667;N;*;33,65;E;1302;Cinder cones;U
0103-002;01;03;-002;Hasan Dagi;Turkey;Holocene;38,13333333;N;;34,16666667;E;3253;Stratovolcano;U
0103-003;01;03;-003;Göllü Dag;Turkey;Holocene?;38,25;N;;34,56666667;E;2143;Lava dome;?
0103-004;01;03;-004;Acigöl-Nevsehir;Turkey;Anthropology;38,56666667;N;;34,51666667;E;1689;Caldera;D7
0103-011;01;03;-011;Karaca Dag;Turkey;Holocene;37,66666667;N;;39,83333333;E;1957;Shield volcano;U
0103-01=;01;03;-01-;Erciyes Dagi;Turkey;Radiocarbon;38,51666667;N;;35,48333333;E;3916;Stratovolcano;D7
0103-021;01;03;-021;Süphan Dagi;Turkey;Holocene;38,91666667;N;;42,81666667;E;4158;Stratovolcano;D7
